Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788256052,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,44,0,9800,9409.48425568207,3836.5314590046182,10382.40233399847,224.04545454545453
1788256053,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,44,0,9800,9409.48425568207,3836.5314590046182,10382.40233399847,224.04545454545453
1788256054,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,45,0,9800,9431.754315733593,3836.5314590046182,10411.6369580006,224.17777777777778
1788256055,10,,Aggregated,1.100000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,46,0,9800,9436.133835152325,3836.5314590046182,10411.6369580006,224.1086956521739
1788256056,10,,Aggregated,1.100000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,46,0,9800,9436.133835152325,3836.5314590046182,10411.6369580006,224.1086956521739
1788256057,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,50,0,9800,9470.55172086024,3836.5314590046182,10411.6369580006,224.2
1788256058,10,,Aggregated,1.000000,0.000000,9800,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,52,0,9800,9499.455314134768,3836.5314590046182,10411.6369580006,224.3846153846154
1788256059,10,,Aggregated,1.000000,0.000000,9800,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,52,0,9800,9499.455314134768,3836.5314590046182,10411.6369580006,224.3846153846154
1788256060,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,53,0,9800,9496.941055849229,3836.5314590046182,10411.6369580006,224.28301886792454
1788256061,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,53,0,9800,9496.941055849229,3836.5314590046182,10411.6369580006,224.28301886792454
1788256062,10,,Aggregated,1.000000,0.000000,9800,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,53,0,9800,9496.941055849229,3836.5314590046182,10411.6369580006,224.28301886792454
1788256063,10,,Aggregated,1.100000,0.000000,9800,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,54,0,9800,9513.824242314984,3836.5314590046182,10411.6369580006,224.24074074074073
